Time stamp,TMR,RMS,Min,Max,didt,Power,Temp,OP
44:07.8,102,72.1,-102,102,22,671,664,0.5
44:07.8,85,72.1,-102,102,-17,671,664,0.5
44:07.8,36,72.1,-102,102,-49,671,666,0.5
44:07.8,-27,72.1,-102,102,-63,671,667,0.5
44:07.8,-80,72.1,-102,102,-53,671,668,0.5
44:07.8,-102,72.1,-102,102,-22,671,667,0.5
44:07.8,-85,72.1,-102,102,17,671,666,0.5
44:07.8,-35,72.1,-102,102,50,671,665,0.5
44:07.8,28,72.1,-102,102,63,671,664,0.5
44:07.8,80,72.1,-102,102,52,671,665,0.5
44:07.8,102,72.2,-102,102,22,671,666,0.5
44:07.8,85,72.2,-102,102,-17,671,667,0.5
44:07.8,36,72.2,-102,102,-49,671,668,0.5
44:07.8,-28,72.2,-102,102,-64,671,668,0.5
44:07.8,-80,72.2,-102,102,-52,671,667,0.5
44:07.8,-101,72.2,-102,102,-21,671,665,0.5
44:07.8,-84,72.2,-102,102,17,671,664,0.5
44:07.8,-35,72.2,-102,102,49,671,664,0.5
44:07.8,28,72.2,-102,102,63,671,665,0.5
44:07.8,80,72.2,-102,102,52,671,667,0.5
44:07.8,102,72,-101,102,22,671,668,0.5
44:07.8,85,72,-101,102,-17,671,668,0.5
44:07.8,35,72,-101,102,-50,671,667,0.5
44:07.8,-28,72,-101,102,-63,671,665,0.5
44:07.8,-80,72,-101,102,-52,671,664,0.5
44:07.8,-101,72,-101,102,-21,671,664,0.5
44:07.8,-84,72,-101,102,17,671,665,0.5
44:07.8,-34,72,-101,102,50,671,666,0.5
44:07.8,28,72,-101,102,62,672,668,0.5
44:07.8,81,72,-101,102,53,672,668,0.5
44:07.8,102,72,-101,102,21,672,667,0.5
44:07.8,85,72,-101,102,-17,671,666,0.5
44:07.8,35,72,-101,102,-50,671,664,0.5
44:07.8,-28,72,-101,102,-63,671,664,0.5
44:07.8,-80,72,-101,102,-52,671,664,0.5
44:07.8,-102,72,-101,102,-22,671,665,0.5
44:07.8,-84,72,-101,102,18,672,667,0.5
44:07.8,-34,72,-101,102,50,671,668,0.5
44:07.8,29,72,-101,102,63,671,668,0.5
44:07.8,81,72,-101,102,52,671,667,0.5
44:07.8,102,72.1,-102,102,21,671,665,0.5
44:07.8,84,72.1,-102,102,-18,671,664,0.5
44:07.8,35,72.1,-102,102,-49,671,664,0.5
44:07.8,-28,72.1,-102,102,-63,671,665,0.5
44:07.9,-80,72.1,-102,102,-52,671,667,0.5
44:07.9,-102,72.1,-102,102,-22,671,668,0.5
44:07.9,-84,72.1,-102,102,18,671,668,0.5
44:07.9,-33,72.1,-102,102,51,672,667,0.5
44:07.9,29,72.1,-102,102,62,671,666,0.5
44:07.9,81,72.1,-102,102,52,671,664,0.5
44:07.9,102,72,-102,102,21,671,664,0.5
44:07.9,84,72,-102,102,-18,671,664,0.5
44:07.9,34,72,-102,102,-50,671,666,0.5
44:07.9,-29,72,-102,102,-63,671,668,0.5
44:07.9,-80,72,-102,102,-51,671,668,0.5
44:07.9,-102,72,-102,102,-22,671,667,0.5
44:07.9,-84,72,-102,102,18,671,666,0.5
44:07.9,-33,72,-102,102,51,672,664,0.5
44:07.9,29,72,-102,102,62,672,664,0.5
44:07.9,81,72,-102,102,52,671,664,0.5
44:07.9,102,72,-102,102,21,671,665,0.5
44:07.9,84,72,-102,102,-18,671,667,0.5
44:07.9,34,72,-102,102,-50,671,668,0.5
44:07.9,-29,72,-102,102,-63,671,668,0.5
44:07.9,-81,72,-102,102,-52,671,667,0.5
44:07.9,-102,72,-102,102,-21,671,665,0.5
44:07.9,-84,72,-102,102,18,671,664,0.5
44:07.9,-33,72,-102,102,51,671,664,0.5
44:07.9,30,72,-102,102,63,671,665,0.5
44:07.9,81,72,-102,102,51,671,667,0.5
44:07.9,102,72.1,-102,102,21,671,668,0.5
44:07.9,84,72.1,-102,102,-18,671,668,0.5
44:07.9,34,72.1,-102,102,-50,671,667,0.5
44:07.9,-29,72.1,-102,102,-63,671,665,0.5
44:07.9,-81,72.1,-102,102,-52,671,664,0.5
44:07.9,-102,72.1,-102,102,-21,671,664,0.5
44:07.9,-83,72.1,-102,102,19,671,665,0.5
44:07.9,-33,72.1,-102,102,50,671,666,0.5
44:07.9,30,72.1,-102,102,63,671,668,0.5
44:07.9,81,72.1,-102,102,51,671,668,0.5
44:07.9,102,72,-102,102,21,671,667,0.5
44:07.9,84,72,-102,102,-18,672,666,0.5
44:07.9,34,72,-102,102,-50,671,664,0.5
44:07.9,-29,72,-102,102,-63,671,664,0.5
44:07.9,-81,72,-102,102,-52,671,664,0.5
44:07.9,-102,72,-102,102,-21,671,666,0.5
44:07.9,-83,72,-102,102,19,672,668,0.5
44:07.9,-33,72,-102,102,50,672,668,0.5
44:07.9,30,72,-102,102,63,672,668,0.5
44:07.9,82,72,-102,102,52,671,667,0.5
44:07.9,102,72.1,-102,102,20,671,665,0.5
44:07.9,83,72.1,-102,102,-19,671,664,0.5
44:07.9,33,72.1,-102,102,-50,671,664,0.5
44:15.0,26,144.4,-200,201,124,671,664,1
44:15.0,140,144.4,-200,201,114,671,664,1
44:15.0,200,144.4,-200,201,60,671,665,1
44:15.0,184,144.4,-200,201,-16,671,667,1
44:15.0,98,144,-200,200,-86,671,668,1
44:15.0,-25,144,-200,200,-123,671,668,1
44:15.0,-140,144,-200,200,-115,671,667,1
44:15.0,-200,144,-200,200,-60,671,665,1
44:15.0,-184,144,-200,200,16,671,664,1
44:15.0,-97,144,-200,200,87,671,664,1
44:15.0,26,144,-200,200,123,671,665,1
44:15.0,140,144,-200,200,114,671,667,1
44:15.0,201,144,-200,200,61,671,668,1
44:15.0,185,144,-200,200,-16,671,668,1
44:15.0,98,144.2,-200,201,-87,671,667,1
44:15.0,-26,144.2,-200,201,-124,671,666,1
44:15.0,-140,144.2,-200,201,-114,671,664,1
44:15.0,-200,144.2,-200,201,-60,671,664,1
44:15.0,-184,144.2,-200,201,16,671,664,1
44:15.0,-97,144.2,-200,201,87,671,666,1
44:15.0,28,144.2,-200,201,125,671,668,1
44:15.0,141,144.2,-200,201,113,671,668,1
44:15.0,201,144.2,-200,201,60,671,668,1
44:15.0,184,144.2,-200,201,-17,672,667,1
44:15.0,97,144.2,-200,201,-87,671,665,1
44:15.0,-27,144.2,-200,201,-124,672,664,1
44:15.0,-141,144.2,-200,201,-114,672,664,1
44:15.0,-201,144.2,-200,201,-60,671,665,1
44:15.0,-183,144.2,-200,201,18,671,667,1
44:15.0,-96,144.2,-200,201,87,671,668,1
44:15.0,28,144.2,-200,201,124,671,668,1
44:15.0,142,144.2,-200,201,114,671,667,1
44:15.0,201,144.2,-200,201,59,671,666,1
44:15.0,184,144.2,-200,201,-17,671,664,1
44:15.0,96,144.3,-201,201,-88,671,664,1
44:15.0,-28,144.3,-201,201,-124,671,665,1
44:15.0,-141,144.3,-201,201,-113,671,666,1
44:15.0,-201,144.3,-201,201,-60,671,668,1
44:15.0,-183,144.3,-201,201,18,671,668,1
44:15.0,-95,144.3,-201,201,88,671,668,1
44:15.0,29,144.3,-201,201,124,672,667,1
44:15.0,142,144.3,-201,201,113,671,665,1
44:15.1,201,144.3,-201,201,59,671,664,1
44:15.1,183,144.3,-201,201,-18,671,664,1
44:15.1,95,144.1,-201,201,-88,671,665,1
44:15.1,-29,144.1,-201,201,-124,671,667,1
44:15.1,-142,144.1,-201,201,-113,672,668,1
44:15.1,-201,144.1,-201,201,-59,671,668,1
44:15.1,-183,144.1,-201,201,18,671,667,1
44:15.1,-95,144.1,-201,201,88,671,665,1
44:15.1,30,144.1,-201,201,125,671,664,1
44:15.1,143,144.1,-201,201,113,671,664,1
44:15.1,201,144.1,-201,201,58,671,665,1
44:15.1,183,144.1,-201,201,-18,671,667,1
44:15.1,95,144.3,-201,201,-88,671,668,1
44:15.1,-29,144.3,-201,201,-124,671,668,1
44:15.1,-142,144.3,-201,201,-113,671,667,1
44:15.1,-201,144.3,-201,201,-59,671,665,1
44:15.1,-183,144.3,-201,201,18,671,664,1
44:15.1,-94,144.3,-201,201,89,671,664,1
44:15.1,30,144.3,-201,201,124,671,665,1
44:15.1,143,144.3,-201,201,113,671,666,1
44:15.1,201,144.3,-201,201,58,671,668,1
44:15.1,183,144.3,-201,201,-18,671,668,1
44:15.1,94,144.2,-201,201,-89,671,667,1
44:15.1,-30,144.2,-201,201,-124,672,666,1
44:15.1,-143,144.2,-201,201,-113,671,664,1
44:15.1,-201,144.2,-201,201,-58,671,664,1
44:15.1,-182,144.2,-201,201,19,671,664,1
44:15.1,-94,144.2,-201,201,88,671,666,1
44:15.1,31,144.2,-201,201,125,671,668,1
44:15.1,143,144.2,-201,201,112,671,668,1
44:15.1,201,144.2,-201,201,58,672,668,1
44:15.1,183,144.2,-201,201,-18,671,667,1
44:15.1,94,144.2,-201,201,-89,671,665,1
44:15.1,-30,144.2,-201,201,-124,672,663,1
44:15.1,-143,144.2,-201,201,-113,671,664,1
44:15.1,-201,144.2,-201,201,-58,671,665,1
44:15.1,-182,144.2,-201,201,19,671,667,1
44:15.1,-93,144.2,-201,201,89,671,668,1
44:15.1,32,144.2,-201,201,125,671,668,1
44:15.1,144,144.2,-201,201,112,671,667,1
44:15.1,202,144.2,-201,201,58,671,666,1
44:15.1,182,144.2,-201,201,-20,671,664,1
44:15.1,93,144.2,-201,202,-89,671,664,1
44:15.1,-31,144.2,-201,202,-124,671,665,1
44:15.1,-144,144.2,-201,202,-113,671,666,1
44:15.1,-201,144.2,-201,202,-57,671,667,1
44:15.1,-181,144.2,-201,202,20,671,668,1
44:15.1,-93,144.2,-201,202,88,671,667,1
44:15.1,32,144.2,-201,202,125,671,666,1
44:15.1,144,144.2,-201,202,112,671,665,1
44:15.1,202,144.2,-201,202,58,671,664,1
44:15.1,182,144.2,-201,202,-20,671,664,1
44:15.1,93,144.2,-201,202,-89,671,665,1
44:15.1,-32,144.2,-201,202,-125,672,667,1
44:15.1,-144,144.2,-201,202,-112,671,668,1
44:15.2,-201,144.2,-201,202,-57,671,668,1
44:15.2,-181,144.2,-201,202,20,671,667,1
44:22.2,-241,288.3,-389,388,147,671,665,2
44:22.2,-2,288.3,-389,388,239,671,667,2
44:22.2,238,288.3,-389,388,240,671,669,2
44:22.2,387,288.3,-389,388,149,671,669,2
44:22.2,388,288.3,-389,388,1,671,668,2
44:22.2,241,288.3,-389,388,-147,671,665,2
44:22.2,2,288.3,-389,388,-239,671,664,2
44:22.2,-239,288,-388,388,-241,671,663,2
44:22.2,-387,288,-388,388,-148,671,664,2
